,0
0,-36
1,-16
2,-15
3,-40
4,-10
5,-36
6,-46
7,-28
8,-17
9,-16
10,-8
11,-18
12,-8
13,-26
14,-4
15,-4
16,8
17,-4
18,-1
19,4
