,0,1,2,3,4
122,"('01', '01')",_1,-2,"('01', '01')",False
123,"('01', '01')",_1,-2,"('01', '01')",False
124,"('01', '01')",1_,-2,"('11', '01')",False
125,"('11', '01')",2_,-2,"('21', '11')",False
126,"('21', '11')",_2,-2,"('22', '21')",False
127,"('22', '21')",1_,-2,"('12', '22')",False
128,"('12', '22')",2_,-2,"('22', '12')",False
129,"('22', '12')",_0,-2,"('20', '22')",False
130,"('20', '22')",_2,-2,"('22', '20')",False
131,"('22', '20')",2_,-2,"('22', '22')",False
132,"('22', '22')",_2,-2,"('22', '22')",False
133,"('22', '22')",_0,-2,"('20', '22')",False
134,"('20', '22')",0_,-2,"('00', '20')",False
135,"('00', '20')",_1,-2,"('01', '00')",False
136,"('01', '00')",_0,10,"('00', '01')",False
137,"('00', '01')",_0,-2,"('00', '00')",False
138,"('00', '00')",2_,-2,"('20', '00')",False
139,"('20', '00')",2_,-2,"('20', '20')",False
140,"('12', '22')",_2,-2,"('12', '12')",False
141,"('12', '12')",_2,-2,"('12', '12')",False
142,"('12', '12')",_2,-2,"('12', '12')",False
143,"('12', '12')",2_,-2,"('22', '12')",False
144,"('22', '12')",_2,-2,"('22', '22')",False
145,"('22', '22')",0_,-2,"('02', '22')",False
146,"('02', '22')",_0,10,"('00', '02')",False
147,"('00', '02')",_1,-10,"('01', '00')",False
148,"('01', '00')",_2,-5,"('02', '01')",False
149,"('02', '01')",1_,-2,"('12', '02')",False
150,"('12', '02')",_2,-2,"('12', '12')",False
151,"('12', '12')",_2,-2,"('12', '12')",False
152,"('12', '12')",0_,-2,"('02', '12')",False
153,"('02', '12')",_0,10,"('00', '02')",False
154,"('00', '02')",_0,-2,"('00', '00')",False
155,"('00', '00')",2_,-2,"('20', '00')",False
156,"('20', '00')",_0,-2,"('20', '20')",False
157,"('20', '20')",_2,-2,"('22', '20')",False
158,"('22', '20')",_2,-2,"('22', '22')",False
159,"('22', '22')",_2,-2,"('22', '22')",False
160,"('11', '12')",0_,-2,"('01', '11')",False
161,"('01', '11')",_0,10,"('00', '01')",False
162,"('00', '01')",_0,-2,"('00', '00')",False
163,"('00', '00')",_0,-2,"('00', '00')",False
164,"('00', '00')",_0,-2,"('00', '00')",False
165,"('00', '00')",1_,-2,"('10', '00')",False
166,"('10', '00')",_0,-2,"('10', '10')",False
167,"('10', '10')",_2,-2,"('12', '10')",False
168,"('12', '10')",_2,-2,"('12', '12')",False
169,"('12', '12')",_1,-2,"('11', '12')",False
170,"('11', '12')",_1,-2,"('11', '11')",False
171,"('11', '11')",2_,-2,"('21', '11')",False
172,"('21', '11')",1_,-2,"('11', '21')",False
173,"('11', '21')",_0,-2,"('10', '11')",False
174,"('10', '11')",2_,-2,"('20', '10')",False
175,"('20', '10')",0_,-2,"('00', '20')",False
176,"('00', '20')",_0,-2,"('00', '00')",False
177,"('00', '00')",_1,-10,"('01', '00')",False
178,"('01', '00')",_0,10,"('00', '01')",False
179,"('00', '01')",_0,-2,"('00', '00')",False
180,"('20', '00')",_0,-2,"('20', '20')",False
181,"('20', '20')",_2,-2,"('22', '20')",False
182,"('22', '20')",_2,-2,"('22', '22')",False
183,"('22', '22')",1_,-2,"('12', '22')",False
184,"('12', '22')",_0,-2,"('10', '12')",False
185,"('10', '12')",_1,-2,"('11', '10')",False
186,"('11', '10')",_0,-2,"('10', '11')",False
187,"('10', '11')",2_,-2,"('20', '10')",False
188,"('20', '10')",0_,-2,"('00', '20')",False
189,"('00', '20')",_0,-2,"('00', '00')",False
190,"('00', '00')",1_,-2,"('10', '00')",False
191,"('10', '00')",_1,-2,"('11', '10')",False
192,"('11', '10')",0_,-2,"('01', '11')",False
193,"('01', '11')",_0,10,"('00', '01')",False
194,"('00', '01')",_2,-5,"('02', '00')",False
195,"('02', '00')",_0,10,"('00', '02')",False
196,"('00', '02')",0_,-2,"('00', '00')",False
197,"('00', '00')",_0,-2,"('00', '00')",False
198,"('00', '00')",0_,-2,"('00', '00')",False
