,0
0,-36
1,-28
2,-40
3,-48
4,6
5,5
6,3
7,10
8,8
9,4
10,-24
11,6
12,-48
13,10
14,-28
15,6
16,-32
17,-43
18,-28
19,-40
20,-40
21,-40
22,10
23,-9
24,-28
25,-19
26,2
27,10
28,-40
29,-33
30,-36
31,5
32,8
33,-43
34,-33
35,-40
36,-48
37,-33
38,-40
39,-40
40,10
41,10
42,10
43,10
44,10
45,-40
46,-40
47,-36
48,13
49,10
