,0,1,2,3,4
123,"('21', '01')",_0,-2,"('20', '21')",False
124,"('20', '21')",0_,-2,"('00', '20')",False
125,"('00', '20')",2_,-2,"('20', '00')",False
126,"('20', '00')",_0,-2,"('20', '20')",False
127,"('20', '20')",_2,-2,"('22', '20')",False
128,"('22', '20')",_2,-2,"('22', '22')",False
129,"('22', '22')",0_,-2,"('02', '22')",False
130,"('02', '22')",1_,-2,"('12', '02')",False
131,"('12', '02')",2_,-2,"('22', '12')",False
132,"('22', '12')",_0,-2,"('20', '22')",False
133,"('20', '22')",_2,-2,"('22', '20')",False
134,"('22', '20')",_0,-2,"('20', '22')",False
135,"('20', '22')",_0,-2,"('20', '20')",False
136,"('01', '02')",_0,10,"('00', '01')",True
137,"('11', '21')",_0,-2,"('10', '11')",False
138,"('10', '11')",_0,-2,"('10', '10')",False
139,"('10', '10')",_0,-2,"('10', '10')",False
140,"('10', '10')",_0,-2,"('10', '10')",False
141,"('10', '10')",_0,-2,"('10', '10')",False
142,"('10', '10')",_2,-2,"('12', '10')",False
143,"('12', '10')",_0,-2,"('10', '12')",False
144,"('10', '12')",_2,-2,"('12', '10')",False
145,"('12', '10')",0_,-2,"('02', '12')",False
146,"('02', '12')",_0,10,"('00', '02')",False
147,"('00', '02')",0_,-2,"('00', '00')",False
148,"('00', '00')",_0,-2,"('00', '00')",False
149,"('00', '00')",_0,-2,"('00', '00')",False
150,"('00', '00')",_1,-2,"('01', '00')",False
151,"('01', '00')",2_,-2,"('21', '01')",False
152,"('21', '01')",_0,-2,"('20', '21')",False
153,"('20', '21')",_2,-2,"('22', '20')",False
154,"('22', '20')",_2,-2,"('22', '22')",False
155,"('22', '22')",_0,-2,"('20', '22')",False
156,"('20', '22')",_1,-2,"('21', '20')",False
157,"('21', '20')",_2,-2,"('22', '21')",False
158,"('22', '21')",0_,-2,"('02', '22')",False
159,"('02', '22')",_0,10,"('00', '02')",True
160,"('22', '22')",_2,-2,"('22', '22')",False
161,"('22', '22')",2_,-2,"('22', '22')",False
162,"('22', '22')",_2,-2,"('22', '22')",False
163,"('22', '22')",_0,-2,"('20', '22')",False
164,"('20', '22')",1_,-2,"('10', '20')",False
165,"('10', '20')",0_,-2,"('00', '10')",False
166,"('00', '10')",_0,-2,"('00', '00')",False
167,"('00', '00')",_0,-2,"('00', '00')",False
168,"('00', '00')",_2,-10,"('02', '00')",False
169,"('02', '00')",_0,10,"('00', '02')",False
170,"('00', '02')",_0,-2,"('00', '00')",False
171,"('00', '00')",_2,-10,"('02', '00')",False
172,"('02', '00')",_0,10,"('00', '02')",False
173,"('00', '02')",_0,-2,"('00', '00')",False
174,"('00', '00')",_0,-2,"('00', '00')",False
175,"('00', '00')",_0,-2,"('00', '00')",False
176,"('00', '00')",_0,-2,"('00', '00')",False
177,"('00', '00')",_0,-2,"('00', '00')",False
178,"('00', '00')",_0,-2,"('00', '00')",False
179,"('00', '00')",0_,-2,"('00', '00')",False
180,"('20', '22')",1_,-2,"('10', '20')",False
181,"('10', '20')",0_,-2,"('00', '10')",False
182,"('00', '10')",_0,-2,"('00', '00')",False
183,"('00', '00')",_0,-2,"('00', '00')",False
184,"('00', '00')",_2,-2,"('02', '00')",False
185,"('02', '00')",_0,-5,"('00', '02')",False
186,"('00', '02')",0_,-2,"('00', '00')",False
187,"('00', '00')",2_,-2,"('20', '00')",False
188,"('20', '00')",_0,-2,"('20', '20')",False
189,"('20', '20')",0_,-2,"('00', '20')",False
190,"('00', '20')",_0,-2,"('00', '00')",False
191,"('00', '00')",2_,-2,"('20', '00')",False
192,"('20', '00')",_1,-2,"('21', '20')",False
193,"('21', '20')",2_,-2,"('21', '21')",False
194,"('21', '21')",_1,-2,"('21', '21')",False
195,"('21', '21')",_1,-2,"('21', '21')",False
196,"('21', '21')",_1,-2,"('21', '21')",False
197,"('21', '21')",_1,-2,"('21', '21')",False
198,"('21', '21')",_1,-2,"('21', '21')",False
199,"('21', '21')",_1,-2,"('21', '21')",False
200,"('11', '12')",_0,-2,"('10', '11')",False
201,"('10', '11')",_0,-2,"('10', '10')",False
202,"('10', '10')",_1,-2,"('11', '10')",False
203,"('11', '10')",_0,-2,"('10', '11')",False
204,"('10', '11')",_1,-2,"('11', '10')",False
205,"('11', '10')",0_,-2,"('01', '11')",False
206,"('01', '11')",_0,10,"('00', '01')",False
207,"('00', '01')",2_,-2,"('20', '00')",False
208,"('20', '00')",_1,-2,"('21', '20')",False
209,"('21', '20')",1_,-2,"('11', '21')",False
210,"('11', '21')",_0,-2,"('10', '11')",False
