,0
0,-40
1,-48
2,-32
3,-36
4,-48
5,-40
6,-31
7,-27
8,-24
9,-27
10,-25
11,-29
12,-32
13,-16
14,10
15,-16
16,-9
17,10
18,-35
19,-28
20,-28
21,-39
22,-30
23,10
24,-10
25,-31
26,-16
27,10
28,-19
29,-12
30,10
31,-36
32,-25
33,-16
34,3
35,-40
36,-36
37,10
38,-40
39,10
40,-38
41,-40
42,-17
43,-36
44,-39
45,-36
46,10
47,10
48,11
49,12
